Title,Abstract
Monoterpene and sesquiterpene biosynthesis in glandular trichomes of peppermint (Mentha x piperita) rely exclusively on plastid-derived isopentenyl diphosphate,"The subcellular compartmentation of isopentenyl diphosphate (IPP) synthesis was examined in secretory cells isolated from glandular trichomes of peppermint (Mentha x piperita L. cv. Black Mitcham). As a consequence of their anatomy and the conditions of their isolation, the isolated secretory cells are non-specifically permeable to low-molecular-weight water-soluble metabolites. Thus, the cytoplasm is readily accessible to the exogenous buffer whereas the selective permeability of subcellular organelles is maintained. With the appropriate choice of exogenous substrates, this feature allows the assessment of cytoplasmic and organellar (e.g. plastidic) metabolism in situ. Glycolytic substrates such as [14C]glucose-6-phosphate and [14C]pyruvic acid are incorporated into both monoterpenes and sesquiterpenes with a monoterpene:sesquiterpene ratio that closely mimics that observed in vivo, indicating that the correct subcellular partitioning of these substrates is maintained in this model system. Additionally, exogenous [14C]mevalonic acid and [14C]IPP, which are both intitially metabolized in the cytoplasm, produce an abnormally high proportion of sesquiterpenes. In contrast, incubation with either [14C]citrate or [14C]acetyl-CoA results in the accumulation of 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) with no detectable isoprenoids formed. Taken together, these results indicate that the cytoplasmic mevalonic acid pathway is blocked at HMG-CoA reductase and that the IPP utilized for both monoterpene and sesquiterpene biosynthesis is synthesized exclusively in the plastids."
"Diversity, regulation, and genetic manipulation of plant mono-and sesquiterpenoid biosynthesis","Among plant secondary metabolites, terpenoids are the most abundant and structurally diverse group. In addition to their important roles in pollinator attraction and direct and indirect plant defense, terpenoids are also commercially valuable due to their broad applications in the cosmetic, food, and pharmaceutical industries. Because of their functional versatility and wide distribution, great efforts have been made to decipher terpenoid biosynthetic pathways, to investigate the molecular mechanism determining their structural diversity, and to understand their biosynthetic regulation. Recent progress on the manipulation of terpenoid production in transgenic plants not only holds considerable promise for improving various plant traits and crop protection but also increases our understanding of the significance of terpenoid metabolites in mediating plant-environment interactions."
A raison d'être for two distinct pathways in the early steps of plant isoprenoid biosynthesis?,"When compared to other organisms, plants are atypical with respect to isoprenoid biosynthesis: they utilize two distinct and separately compartmentalized pathways to build up isoprene units. The co-existence of these pathways in the cytosol and in plastids might permit the synthesis of many vital compounds, being essential for a sessile organism. While substrate exchange across membranes has been shown for a variety of plant species, lack of complementation of strong phenotypes, resulting from inactivation of either the cytosolic pathway (growth and development defects) or the plastidial pathway (pigment bleaching), seems to be surprising at first sight. Hundreds of isoprenoids have been analyzed to determine their biosynthetic origins. It can be concluded that in angiosperms, under standard growth conditions, C20-phytyl moieties, C30-triterpenes and C40-carotenoids are made nearly exclusively within compartmentalized pathways, while mixed origins are widespread for other types of isoprenoid-derived molecules. It seems likely that this coexistence is essential for the interaction of plants with their environment. A major purpose of this review is to summarize such observations, especially within an ecological and functional context and with some emphasis on regulation. This latter aspect still requires more work and present conclusions are preliminary, although some general features seem to exist."
"Volatile terpenoids: multiple functions, biosynthesis, modulation and manipulation by genetic engineering","Terpenoids are structurally diverse and the most abundant plant secondary metabolites, playing an important role in plant life through direct and indirect plant defenses, by attracting pollinators and through different interactions between the plants and their environment. Terpenoids are also significant because of their enormous applications in the pharmaceutical, food and cosmetics industries. Due to their broad distribution and functional versatility, efforts are being made to decode the biosynthetic pathways and comprehend the regulatory mechanisms of terpenoids. This review summarizes the recent advances in biosynthetic pathways, including the spatiotemporal, transcriptional and post-transcriptional regulatory mechanisms. Moreover, we discuss the multiple functions of the terpene synthase genes (TPS), their interaction with the surrounding environment and the use of genetic engineering for terpenoid production in model plants. Here, we also provide an overview of the significance of terpenoid metabolic engineering in crop protection, plant reproduction and plant metabolic engineering approaches for pharmaceutical terpenoids production and future scenarios in agriculture, which call for sustainable production platforms by improving different plant traits."
Strategies for transgenic manipulation of monoterpene biosynthesis in plants,"Monoterpenes, the C10 isoprenoids, are a large family of natural products that are best known as constituents of the essential oils and defensive oleoresins of aromatic plants. In addition to ecological roles in pollinator attraction, allelopathy and plant defense, monoterpenes are used extensively in the food, cosmetic and pharmaceutical industries. The importance of these plant products has prompted the definition of many monoterpene biosynthetic pathways, the cloning of the relevant genes and the development of genetic transformation techniques for agronomically significant monoterpene-producing plants. Metabolic engineering of monoterpene biosynthesis in the model plant peppermint has resulted in yield increase and compositional improvement of the essential oil, and also provided strategies for manipulating flavor and fragrance production, and plant defense."
Plant terpenoids: biosynthesis and ecological functions,"Among plant secondary metabolites terpenoids are a structurally most diverse group; they function as phytoalex-ins in plant direct defense, or as signals in indirect defense responses which involves herbivores and their natural enemies. In recent years, more and more attention has been paid to the investigation of the ecological role of plant terpenoids. The biosynthesis pathways of monoterpenes, sesquiterpenes, and diterpenes include the synthesis of C5 precursor isopentenyl diphosphate (IPP) and its allylic isomer dimethylallyl diphosphate (DMAPP), the synthesis of the immediate diphosphate precursors, and the formation of the diverse terpenoids. Terpene synthases (TPSs) play a key role in volatile terpene synthesis. By expression of the TPS genes, significant achievements have been made on metabolic engineering to increase terpenoid production. This review mainly summarizes the recent research progress in elucidating the ecological role of terpenoids and characterization of the enzymes involved in the terpenoid biosynthesis. Spatial and temporal regulations of terpenoids metabolism are also discussed."
"Germacrene A synthase in yarrow (Achillea millefolium) is an enzyme with mixed substrate specificity: gene cloning, functional characterization and expression analysis","Terpenoid synthases constitute a highly diverse gene family producing a wide range of cyclic and acyclic molecules consisting of isoprene (C5) residues. Often a single terpene synthase produces a spectrum of molecules of given chain length, but some terpene synthases can use multiple substrates, producing products of different chain length. Only a few such enzymes has been characterized, but the capacity for multiple-substrate use can be more widespread than previously thought. Here we focused on germacrene A synthase (GAS) that is a key cytosolic enzyme in the sesquiterpene lactone biosynthesis pathway in the important medicinal plant Achillea millefolium (AmGAS). The full length encoding gene was heterologously expressed in Escherichia coli BL21 (DE3), functionally characterized, and its in vivo expression was analyzed. The recombinant protein catalyzed formation of germacrene A with the C15 substrate farnesyl diphosphate (FDP), while acyclic monoterpenes were formed with the C10 substrate geranyl diphosphate (GDP) and cyclic monoterpenes with the C10 substrate neryl diphosphate (NDP). Although monoterpene synthesis has been assumed to be confined exclusively to plastids, AmGAS can potentially synthesize monoterpenes in cytosol when GDP or NDP become available. AmGAS enzyme had high homology with GAS sequences from other Asteraceae species, suggesting that multi-substrate use can be more widespread among germacrene A synthases than previously thought. Expression studies indicated that AmGAS was expressed in both autotrophic and heterotrophic plant compartments with the highest expression levels in leaves and flowers. To our knowledge, this is the first report on the cloning and characterization of germacrene A synthase coding gene in A. millefolium, and multi-substrate use of GAS enzymes."
Metabolic engineering of natural products in plants; tools of the trade and challenges for the future,"Plant natural products play essential roles in plant survivability and many of them are used as nutrients, colorants, flavors, fragrances, and medicines. Genetic engineering of plants for natural products can help alleviate the demands for limited natural resources. Successes in enhancing production capacities have included manipulating blocks of genes coding for segments of pathways, over-expression of putative rate-limiting steps in pathways, expression of transcription factors regulating the entire metabolic pathways, and the construction of novel branch pathways capable of diverting carbon to the biosynthesis of unique metabolites in unexpected intracellular compartments. Further enhancements are likely if more efficient pathways can be constructed, providing for the efficient channeling of intermediates to final products, and if the means for sequestering natural products in planta can be accomplished."
Two independent biochemical pathways for isopentenyl diphosphate and isoprenoid biosynthesis in higher plants,"In the early times of isoprenoid research, a single pathway was found for the formation of the C5 monomer, isopentenyl diphosphate (IPP), and this acetate/mevalonate pathway was supposed to occur ubiquitously in all living organisms. Now, 40 years later, a totally different IPP biosynthesis route has been detected in eubacteria, green algae and higher plants. In this new pathway glyceraldehyde 3-phosphate (GAP) and pyruvate are precursors of isopentenyl diphosphate, but not acetyl-CoA and mevalonic acid. In green tissues of three higher plants it was shown that all chloroplastbound isoprenoids (β-carotene, phytyl chains of chlorophylls and nona-prenyl chain of plastoquinone-9) are formed via the GAP/pyruvate pathway, whereas the cytoplasmic sterols are formed via the acetate/mevalonate pathway. Also, isoprene, emitted by various plants at high light conditions by action of the plastid-bound isoprene synthase, is formed via the new GAP/pyruvate pathway. Thus, in higher plants, there exist two separate and biochemically different IPP biosynthesis pathways: (1) the novel alternative GAP/pyruvate pathway apparently bound to the plastidic compartment and (2) the classical cytoplasmic acetate/mevalonate pathway. This new GAP/pyruvate pathway for IPP formation allows a reasonable interpretation of previous odd results concerning the biosynthesis of chloroplast isoprenoids, which, so far, had mainly been interpreted assuming compartmentation differences. The novel GAP/pyruvate pathway for IPP formation in plastids appears as a heritage of their prokaryotic, endosymbiotic ancestors."
"Terpenoid biosynthesis: the basic pathway and formation of monoterpenes, sesquiterpenes, and diterpenes","Plants produce a large variety of lipids that lack fatty acid moieties and are often called nonacyl lipids. The largest single category of nonacyl lipids in higher plants is undoubtedly the terpenoids, an extremely abundant class of natural products with a common biosynthetic origin. Terpenoids all share a common construction pattern: the linkage of five- carbon units having the branched carbon skeleton of isopentane. Terpenoids are found in all living organisms, but achieve their greatest structural and functional diversity in the plant kingdom. This chapter considers each of the three stages of terpenoid biosynthesis, such as, monoterpenes, sesquiterpenes, and diterpenes. It describes the sequence of biosynthetic transformations of each stage and reviews what is known about the enzymology, mechanism, and regulation of various key steps of the pathway. The chapter examines the roles of subcellular compartmentation, multienzyme complexes, assimilate partitioning, and morphological differentiation in the overall control of plant terpenoid biogenesis."
Advances in fruit aroma volatile research,"Fruits produce a range of volatile compounds that make up their characteristic aromas and contribute to their flavor. Fruit volatile compounds are mainly comprised of esters, alcohols, aldehydes, ketones, lactones, terpenoids and apocarotenoids. Many factors affect volatile composition, including the genetic makeup, degree of maturity, environmental conditions, postharvest handling and storage. There are several pathways involved in volatile biosynthesis starting from lipids, amino acids, terpenoids and carotenoids. Once the basic skeletons are produced via these pathways, the diversity of volatiles is achieved via additional modification reactions such as acylation, methylation, oxidation/reduction and cyclic ring closure. In this paper, we review the composition of fruit aroma, the characteristic aroma compounds of several representative fruits, the factors affecting aroma volatile, and the biosynthetic pathways of volatile aroma compounds. We anticipate that this review would provide some critical information for profound research on fruit aroma components and their manipulation during development and storage"
Engineering the plant rhizosphere,"Plant natural products are low molecular weight compounds playing important roles in plant survival under biotic and abiotic stresses. In the rhizosphere, several groups of plant natural products function as semiochemicals that mediate the interactions of plants with other plants, animals and microorganisms. The knowledge on the biosynthesis and transport of these signaling molecules is increasing fast. This enables us to consider to optimize plant performance by changing the production of these signaling molecules or their exudation into the rhizosphere. Here we discuss recent advances in the understanding and metabolic engineering of these rhizosphere semiochemicals."
Overproduction of isoprenoids by Saccharomyces cerevisiae in a synthetic grape juice medium in the absence of plant genes,"The objective of this work is to demonstrate if the hexaprenyl pyrophosphate synthetase Coq1p might be involved in monoterpenes synthesis in Saccharomyces cerevisiae, although its currently known function in yeast is to catalyze the first step in ubiquinone biosynthesis. However, in a BY4743 laboratory strain, the presence of an empty plasmid in a chemically defined grape juice medium results in a statistically significant increase of linalool, (E)-nerolidol and (E,E)-farnesol. When COQ1 is overexpressed from a plasmid, the levels of the volatile isoprenoids are further increased. Furthermore, overexpression of COQ1 in the same genetic context but with a mutated farnesyl pyrophosphate synthetase (erg20 mutation K197E), results in statistically significant higher levels of linalool (above 750 μg/L), geraniol, α-terpineol, and the sesquiterpenes, farnesol and nerolidol (total concentration of volatile isoprenoids surpasses 1300 μg/L). We show that the levels of monoterpenes and sesquiterpenes that S. cerevisiae can produce, in the absence of plant genes, depend on the composition of the medium and the genetic context. To the best of our knowledge, this is the highest level of linalool produced by S. cerevisiae up to now. Further research will be needed for understanding how COQ1 and the medium composition might interact to increase flavor complexity of fermented beverages."
Biosynthesis and engineering of isoprenoid small molecules,"Isoprenoid secondary metabolites are a rich source of commercial products that have not been fully explored. At present, there are isoprenoid products used in cancer therapy, the treatment of infectious diseases, and crop protection. All isoprenoids share universal prenyl diphosphate precursors synthesized via two distinct pathways. From these universal precursors, the biosynthetic pathways to specific isoprenoids diverge resulting in a staggering array of products. Taking advantage of this diversity has been the focus of much effort in metabolic engineering heterologous hosts. In addition, the engineering of the mevalonate pathway has increased levels of the universal precursors available for heterologous production. Finally, we will describe the efforts to produce to commercial terpenoids, paclitaxel and artemisinin."
The non-mevalonate DOXP/MEP (deoxyxylulose 5-phosphate/methylerythritol 4-phosphate) pathway of chloroplast isoprenoid and pigment biosynthesis,"The plastidic pathway for isopentenyl diphosphate (IPP) and isoprenoid biosynthesis, the DOXP/MEP pathway, possesses an essential function in the biosynthesis of thylakoidal prenylllipids chlorophylls (phytyl side-chain), carotenoids, plastoquinone-9, phylloquinone K1 and α-tocopherol, as well as for monoterpenes and diterpenes. Here we review its detection, its enzymes, intermediates, genes, cofactor requirements and inhibitors. This plastidic isoprenoid pathway is also contrasted against the acetate/mevalonate(MVA) pathway of isoprenoid biosynthesis operating in the cytosol for the biosynthesis of sterols, sesquiterpenes and polyterpenes. The DOXP/MEP pathway can specifically be inhibited by fosmidomycin and the acetate/MVA pathway by statins (e.g. mevinolin). By applying specifically marked substrates (2H-deoxyxylulose, 14C-DOXP, 3H-MVA or 14C-MVA) and specific inhibitors a cross-talk between both IPP yielding cell pathways was detected that operates preferentially in the chloroplast-to-cytosol direction. The DOXP/MEP pathway is also involved in the biosynthesis of the volatile hemiterpenes isoprene and methylbutenol. The distribution of the DOXP/MEP pathway in photosynthetic organisms (bacteria, algae, higher plants) and its putative origin in anoxigenic photosynthetic bacteria is reviewed. The DOXP/MEP pathway does not occur in Archaea, fungi or animals. The use of etiolated seedlings with their light-induced pigment accumulation as a test system for inhibitors of the DOXP/MEP pathway in the search of active ingredients against pathogenic bacteria and the malaria parasite Plasmodium is discussed."
"The Sesquiterpenes(E)-ß-Farnesene and (E)-α-Bergamotene Quench Ozone but Fail to Protect the Wild Tobacco Nicotiana attenuata from Ozone, UVB, and Drought Stresses","Among the terpenes, isoprene (C5) and monoterpene hydrocarbons (C10) have been shown to ameliorate abiotic stress in a number of plant species via two proposed mechanisms: membrane stabilization and direct antioxidant effects. Sesquiterpene hydrocarbons (C15) not only share the structural properties thought to lend protective qualities to isoprene and monoterpene hydrocarbons, but also react rapidly with ozone, suggesting that sesquiterpenes may similarly enhance tolerance of abiotic stresses. To test whether sesquiterpenes protect plants against ozone, UVB light, or drought, we used transgenic lines of the wild tobacco Nicotiana attenuata. The transgenic plants expressed a maize terpene synthase gene (ZmTPS10) which produced a blend of (E)-ß-farnesene and (E)-α-bergamotene, or a point mutant of the same gene (ZmTPS10M) which produced (E)-ß-farnesene alone,. (E)-ß-farnesene exerted a local, external, and transient ozone-quenching effect in ozone-fumigated chambers, but we found no evidence that enhanced sesquiterpene production by the plant inhibited oxidative damage, or maintained photosynthetic function or plant fitness under acute or chronic stress. Although the sesquiterpenes (E)-ß-farnesene and (E)-α-bergamotene might confer benefits under intermittent heat stress, which was not tested, any roles in relieving abiotic stress may be secondary to their previously demonstrated functions in biotic interactions."
Rice terpene synthase 20 (OsTPS20) plays an important role in producing terpene volatiles in response to abiotic stresses,"This study examined the volatile terpenes produced by rice seedlings in response to oxidative stress induced by various abiotic factors. Solid-phase microextraction–gas chromatography–mass spectrometry (SPME–GC–MS) analyses revealed that when exposed to UV-B radiation, rice seedlings emitted a bouquet of monoterpene mixtures in a time-dependent manner. The mixtures comprised limonene, sabinene, myrcene, α-terpinene, β-ocimene, γ-terpinene, and α-terpinolene. Among them, (S)-limonene was the most abundant volatile, discriminated by chiral SPME–GC–MS. The volatile profiles collected from rice plants treated with both γ-irradiation and H2O2 were identical to those observed in the UV-B irradiated plants, thus indicating that the volatile mixtures were specifically produced in response to oxidative stress, particularly in the presence of H2O2. Using a reverse genetics approach, we isolated full-length rice terpene synthase 20 (OsTPS20, 599 amino acids, 69.39 kDa), which was further characterized as an (S)-limonene synthase by removing the N-terminal signal peptide (63 amino acids) of the protein. The recombinant OsTPS20 protein catalyzed the conversion of geranyl diphosphate to (S)-limonene and other minor monoterpenes, essentially covering all of the volatile compounds detected from the plant. Moreover, qRT-PCR revealed that the transcript levels of OsTPS20 were significantly induced in response to oxidative stress, thereby suggesting that OsTPS20 plays a major role in producing terpene volatiles during abiotic stress. Detailed biochemical analyses and the unusual domain characteristics of OsTPS20 are also discussed in this report."
"Mild versus severe stress and BVOCs: thresholds, priming and consequences","Plant-generated volatile organic compounds (BVOCs) play key roles in large-scale atmospheric processes and serve the plants as important defense and signal molecules. The main emphasis in quantitative BVOC studies has been on constitutive emissions of isoprene and specific monoterpene species that are present in only certain emitting plant species. However, environmental and biotic stresses can induce emissions of an array of organic compounds in any plant species, whereas the magnitude of emissions induced by given stress depends on stress tolerance, timing, duration and severity (mild versus strong) of the stress. The main view put forward in this review is that quantitative understanding of stress effects is the key for constructing realistic models of both constitutive and induced BVOC emissions."
Studies on biosynthetic genes and enzymes of isoprenoids produced by actinomycetes,"Most Streptomyces strains are equipped with only the 2-C-methyl-D-erythritol 4-phosphate (MEP) pathway for the formation of isopentenyl diphosphate, a common precursor of isoprenoids. In addition to this pathway, some Streptomyces strains possess the mevalonate (MV) pathway via which isoprenoid antibiotics are produced. We have recently cloned and analyzed the MV pathway gene clusters and their flanking regions from terpentecin, BE-40644, and furaquinocin A producers. All these clusters contained genes coding for mevalonate kinase, mevalonate diphosphate decarboxylase, phosphomevalonate kinase, type 2 IPP isomerase, HMG-CoA reductase, and HMG-CoA synthase. The order of each of the open reading frames (ORFs) is also the same, and the respective homologous ORFs show more than 70% amino acid identity with each other. In contrast to these conservative gene organizations, the biosynthetic genes of terpentecin, BE-40644, and furaquinocin A were located just upstream and/or downstream of the MV pathway gene cluster. These facts suggested that all the actinomycete strains possessing both the MV and MEP pathways produce isoprenoid compounds and the biosynthetic genes of one of these isoprenoids usually exist adjacent to the MV pathway gene cluster. Therefore, when the presence of the MV cluster is detected by molecular genetic techniques, isoprenoids may be produced by the cultivation of these actinomycete strains. During the course of these studies, we identified diterpene cyclases possessing unique primary structures that differ from those of eukaryotes and catalyze unique reactions."
The potential of the mevalonate pathway for enhanced isoprenoid production,"The cytosol-localised mevalonic acid (MVA) pathway delivers the basic isoprene unit isopentenyl diphosphate (IPP). In higher plants, this central metabolic intermediate is also synthesised by the plastid-localised methylerythritol phosphate (MEP) pathway. Both MVA and MEP pathways conspire through exchange of intermediates and regulatory interactions. Products downstream of IPP such as phytosterols, carotenoids, vitamin E, artemisinin, tanshinone and paclitaxel demonstrate antioxidant, cholesterol-reducing, anti-ageing, anticancer, antimalarial, anti-inflammatory and antibacterial activities. Other isoprenoid precursors including isoprene, isoprenol, geraniol, farnesene and farnesol are economically valuable. An update on the MVA pathway and its interaction with the MEP pathway is presented, including the improvement in the production of phytosterols and other isoprenoid derivatives. Such attempts are for instance based on the bioengineering of microbes such as Escherichia coli and Saccharomyces cerevisiae, as well as plants. The function of relevant genes in the MVA pathway that can be utilised in metabolic engineering is reviewed and future perspectives are presented."
Opportunistic emissions of volatile isoprenoids,"Isoprene, monoterpenes and sesquiterpenes are synthesized and emitted by some plant species, but not all plant species have this ability. These volatile, nonessential isoprenoid compounds share the same biochemical precursors as larger essential isoprenoids such as gibberellic acids and carotenoids. They have many protective and ecological functions for the plant species that produce them, but plant species that do not produce these compounds also grow and reproduce successfully. Here, we develop an ‘opportunist hypothesis’ suggesting that (i) volatile isoprenoid production takes advantage of dimethylallyl diphosphate (DMAPP) and its isomer isopentenyl diphosphate (IPP), which are synthesized primarily to produce essential isoprenoids, and (ii) conditions affecting synthesis of the higher isoprenoids will affect the production and emission of volatile isoprenoids."
Isoprene interferes with the attraction of bodyguards by herbaceous plants,"Isoprene is the most abundant volatile compound emitted by vegetation. It influences air chemistry and is part of plant defense against abiotic stresses. However, whether isoprene influences biotic interactions between plants and other organisms has not been investigated to date. Here we show a new effect of isoprene, namely its influence on interactions between plants and insects. Herbivory induces the release of plant volatiles that attract the herbivore's enemies, such as parasitic wasps, as a kind of bodyguard. We used transgenic isoprene-emitting Arabidopsis plants in behavioral, chemical, and electrophysiological studies to investigate the effects of isoprene on ecological interactions in 2 tritrophic systems. We demonstrate that isoprene is perceived by the chemoreceptors of the parasitic wasp Diadegma semiclausum and interferes with the attraction of this parasitic wasp to volatiles from herbivore-infested plants. We verified this repellent effect on D. semiclausum female wasps by adding external isoprene to the volatile blend of wild-type plants. In contrast, the antennae of the parasitic wasp Cotesia rubecula do not perceive isoprene and the behavior of this wasp was not altered by isoprene emission. In addition, the performance of the 2 examined lepidopteran herbivores (Pieris rapae and Plutella xylostella) was not affected by isoprene emission. Therefore, attraction of parasitic wasps to host-infested herbaceous plants in the neighborhood of high isoprene emitters, such as poplar or willow, may be hampered by the isoprene emission that repels plant bodyguards."
Isoprenoids: an evolutionary pool for photoprotection,"Plants have evolved several mechanisms for getting rid of excess energy in photosynthetic membranes, some of which involve isoprenoid compounds. In all photosynthetic organisms, the carotenoids β-carotene and zeaxanthin, and tocopherols serve an important photoprotective role, either by dissipating excess excitation energy as heat or by scavenging reactive oxygen species (ROS) and suppressing lipid peroxidation. Isoprene and some monoterpenes, diterpenes and other carotenoids also occur in some plant lineages. Compelling evidence indicates that these non-ubiquitous isoprenoids might be particularly relevant in adapting plants to adverse climatic conditions by serving as additional and/or alternative protection mechanisms."
Contribution of isopentenyl phosphate to plant terpenoid metabolism,"Plant genomes encode isopentenyl phosphate kinases (IPKs) that reactivate isopentenyl phosphate (IP) via ATP-dependent phosphorylation, forming the primary metabolite isopentenyl diphosphate (IPP) used generally for isoprenoid/terpenoid biosynthesis. Therefore, the existence of IPKs in plants raises unanswered questions concerning the origin and regulatory roles of IP in plant terpenoid metabolism. Here, we provide genetic and biochemical evidence showing that IP forms during specific dephosphorylation of IPP catalysed by a subset of Nudix superfamily hydrolases. Increasing metabolically available IP by overexpression of a bacterial phosphomevalonate decarboxylase (MPD) in Nicotiana tabacum resulted in significant enhancement in both monoterpene and sesquiterpene production. These results indicate that perturbing IP metabolism results in measurable changes in terpene products derived from both the methylerythritol phosphate (MEP) and mevalonate (MVA) pathways. Moreover, the unpredicted peroxisomal localization of bacterial MPD led us to discover that the step catalysed by phosphomevalonate kinase (PMK) imposes a hidden constraint on flux through the classical MVA pathway. These complementary findings fundamentally alter conventional views of metabolic regulation of terpenoid metabolism in plants and provide new metabolic engineering targets for the production of high-value terpenes in plants"